cfg,seed,w_xgb,macro_f1,micro_f1,accuracy,n_test,label
A2c,7,1.0,0.5505963656501269,0.57631822386679,0.57631822386679,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,13,0.0,0.6296406258096787,0.666049953746531,0.666049953746531,1081,A0  base: LR on raw embeddings
A1,13,0.0,0.5591197273051495,0.5938945420906568,0.5938945420906568,1081,A1  + StandardScaler
A2,13,0.0,0.5927749549933008,0.6271970397779834,0.6271970397779834,1081,A2  + PCA (95% variance)
A3,13,1.0,0.5650151211322438,0.61054579093432,0.61054579093432,1081,A3  XGBoost replaces LR
A4,13,1.0,0.5623855608257675,0.5837187789084182,0.5837187789084182,1081,A4  + cost-sensitive weighting
A5,13,0.65,0.6028377792294599,0.6271970397779834,0.6271970397779834,1081,A5  + hybrid ensemble XGB+LR
A6,13,0.65,0.6028377792294599,0.6271970397779834,0.6271970397779834,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,13,0.0,0.6020196830178165,0.6234967622571693,0.6234967622571693,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,13,1.0,0.5653373950067091,0.5883441258094357,0.5883441258094357,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,77,0.0,0.5779107458837949,0.6262719703977798,0.6262719703977798,1081,A0  base: LR on raw embeddings
A1,77,0.0,0.5356840025316751,0.574468085106383,0.574468085106383,1081,A1  + StandardScaler
A2,77,0.0,0.5660821713359032,0.606845513413506,0.606845513413506,1081,A2  + PCA (95% variance)
A3,77,1.0,0.5292941635586654,0.5874190564292322,0.5874190564292322,1081,A3  XGBoost replaces LR
A4,77,1.0,0.5550595999881617,0.5837187789084182,0.5837187789084182,1081,A4  + cost-sensitive weighting
A5,77,0.65,0.592184117384188,0.6188714153561518,0.6188714153561518,1081,A5  + hybrid ensemble XGB+LR
A6,77,0.65,0.592184117384188,0.6188714153561518,0.6188714153561518,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,77,0.0,0.5886377113806919,0.6151711378353376,0.6151711378353376,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,77,1.0,0.5550595999881617,0.5837187789084182,0.5837187789084182,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,101,0.0,0.6011475837595242,0.6466234967622572,0.6466234967622572,1081,A0  base: LR on raw embeddings
A1,101,0.0,0.5625314816413411,0.5957446808510638,0.5957446808510638,1081,A1  + StandardScaler
A2,101,0.0,0.6119307312167209,0.6447733580018501,0.6447733580018501,1081,A2  + PCA (95% variance)
A3,101,1.0,0.5221895672393744,0.580018501387604,0.580018501387604,1081,A3  XGBoost replaces LR
A4,101,1.0,0.5373685028934477,0.5596669750231268,0.5596669750231268,1081,A4  + cost-sensitive weighting
A5,101,0.7000000000000001,0.6227188447372554,0.6447733580018501,0.6447733580018501,1081,A5  + hybrid ensemble XGB+LR
A6,101,0.7000000000000001,0.6227188447372554,0.6447733580018501,0.6447733580018501,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,101,0.0,0.6255684674882173,0.6484736355226642,0.6484736355226642,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,101,1.0,0.5373685028934477,0.5596669750231268,0.5596669750231268,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,202,0.0,0.5921543077367972,0.633672525439408,0.633672525439408,1081,A0  base: LR on raw embeddings
A1,202,0.0,0.554609132442519,0.5846438482886216,0.5846438482886216,1081,A1  + StandardScaler
A2,202,0.0,0.5779607192405565,0.6197964847363552,0.6197964847363552,1081,A2  + PCA (95% variance)
A3,202,1.0,0.5450017903058121,0.5883441258094357,0.5883441258094357,1081,A3  XGBoost replaces LR
A4,202,1.0,0.5599176159380561,0.5818686401480111,0.5818686401480111,1081,A4  + cost-sensitive weighting
A5,202,0.65,0.6071117243689301,0.6318223866790009,0.6318223866790009,1081,A5  + hybrid ensemble XGB+LR
A6,202,0.65,0.6071117243689301,0.6318223866790009,0.6318223866790009,1081,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB)
A2b,202,0.0,0.5862434534503228,0.6123959296947271,0.6123959296947271,1081,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration)
A2c,202,1.0,0.5568527070217691,0.580018501387604,0.580018501387604,1081,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration)
A0,303,0.0,0.6182188231926635,0.6577243293246994,0.6577243293246994,1081,A0  base: LR on raw embeddings
A1,303,0.0,0.5430870695198365,0.5827937095282146,0.5827937095282146,1081,A1  + StandardScaler
A2,303,0.0,0.5832373093645198,0.6207215541165587,0.6207215541165587,1081,A2  + PCA (95% variance)
A3,303,1.0,0.5528769871535378,0.6040703052728955,0.6040703052728955,1081,A3  XGBoost replaces LR
A4,303,1.0,0.5729099314849316,0.5957446808510638,0.5957446808510638,1081,A4  + cost-sensitive weighting
A5,303,0.6000000000000001,0.604632678676406,0.6318223866790009,0.6318223866790009,1081,A5  + hybrid ensemble XGB+LR
