seed,train_time_s,infer_ms_per_sample
42,757.3100735609987,4.2154834273829085
7,660.539646453999,4.601700084180591
13,755.4021977850007,4.64558803515223
77,754.7290700839985,4.788297330248987
101,756.3470642469983,4.487069664198664
202,662.1905697900002,4.983182362628147
303,755.9891397190004,4.725047036075691
404,756.0313496710005,4.558673668828177
505,756.2549317010016,4.645891705826667
606,663.3586649249992,4.890617640148481
