cfg,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_str,micro_f1_mean,micro_f1_std,micro_f1_ci95,micro_f1_str,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_str
ME-XBAL,0.5984163310317396,0.013592822536668544,0.009723719473479789,0.5984 ± 0.0136,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126
ME-XBAL+XGB,0.6066402362361181,0.014356701442915329,0.010270165524402245,0.6066 ± 0.0144,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128
XLM-R Hybrid,0.5970881701560458,0.013746333659742144,0.009833534715516514,0.5971 ± 0.0137,0.6378353376503237,0.013485087638402638,0.009646650569989321,0.6378 ± 0.0135,0.6378353376503237,0.013485087638402638,0.009646650569989321,0.6378 ± 0.0135
XLM-R LR,0.587205404142355,0.014062922673606737,0.010060008852944589,0.5872 ± 0.0141,0.6260869565217392,0.0130007998451324,0.009300211952587603,0.6261 ± 0.0130,0.6260869565217392,0.0130007998451324,0.009300211952587603,0.6261 ± 0.0130
XLM-R XGB,0.5466426485466062,0.013797290997045207,0.009869987398667039,0.5466 ± 0.0138,0.5927844588344126,0.011311261442477101,0.008091588988315628,0.5928 ± 0.0113,0.5927844588344126,0.011311261442477101,0.008091588988315628,0.5928 ± 0.0113
IndoBERT LR,0.5800212070128752,0.015468711346291387,0.011065649488309737,0.5800 ± 0.0155,0.6179463459759482,0.012661403125283863,0.009057422165174163,0.6179 ± 0.0127,0.6179463459759482,0.012661403125283863,0.009057422165174163,0.6179 ± 0.0127
IndoBERT XGB,0.5546803811777395,0.013607987855865422,0.009734568089298793,0.5547 ± 0.0136,0.600277520814061,0.009871742032516923,0.007061818837096352,0.6003 ± 0.0099,0.600277520814061,0.009871742032516923,0.007061818837096352,0.6003 ± 0.0099
IndoBERT Hybrid,0.5877123678085933,0.018196622995000276,0.013017079925139678,0.5877 ± 0.0182,0.628399629972248,0.014522574472567804,0.010388823941681353,0.6284 ± 0.0145,0.628399629972248,0.014522574472567804,0.010388823941681353,0.6284 ± 0.0145
