cfg,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_str,micro_f1_mean,micro_f1_std,micro_f1_ci95,micro_f1_str,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_str
ME-XBAL,0.5984163310317396,0.013592822536668544,0.009723719473479789,0.5984 ± 0.0136,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126
ME-XBAL+XGB,0.6066402362361181,0.014356701442915329,0.010270165524402245,0.6066 ± 0.0144,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128
XLM-R fine-tuned,0.6776421949909591,0.013856108394551423,0.009912062830165371,0.6776 ± 0.0139,0.7054579093432006,0.015176652151979804,0.010856722926701555,0.7055 ± 0.0152,0.7054579093432006,0.015176652151979804,0.010856722926701555,0.7055 ± 0.0152
