metric,SHAP ranking,Random ranking,mean_diff,p_value,significant_0.05
AOPC deletion (higher = better),0.2245 ± 0.2066,0.1095 ± 0.1976,0.11503189975580645,0.0005984902381896973,True
AOPC insertion (higher = better),0.3454 ± 0.2212,0.1197 ± 0.2245,0.2257361801267903,5.488097667694092e-05,True
