cfg,component,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_str,micro_f1_mean,micro_f1_std,micro_f1_ci95,micro_f1_str,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_str,delta
A0,A0  base: LR on raw embeddings,0.6022314764877159,0.015330363574582277,0.010966681454389525,0.6022 ± 0.0153,0.645790934320074,0.012064976014403785,0.008630763912487426,0.6458 ± 0.0121,0.645790934320074,0.012064976014403785,0.008630763912487426,0.6458 ± 0.0121,
A1,A1  + StandardScaler,0.5481989199683056,0.011312691447485219,0.008092611952273782,0.5482 ± 0.0113,0.5867715078630897,0.00830904803600563,0.0059439348947454805,0.5868 ± 0.0083,0.5867715078630897,0.00830904803600563,0.0059439348947454805,0.5868 ± 0.0083,-0.0540325565194103
A2,A2  + PCA (95% variance),0.5869892295297907,0.014236712814568108,0.010184330830473994,0.5870 ± 0.0142,0.6262719703977798,0.013016879999509992,0.009311715002070974,0.6263 ± 0.0130,0.6262719703977798,0.013016879999509992,0.009311715002070974,0.6263 ± 0.0130,0.0387903095614851
A3,A3  XGBoost replaces LR,0.5419195367513774,0.015534479334916609,0.01111269707316575,0.5419 ± 0.0155,0.5940795559666975,0.01167527308413123,0.00835198723003306,0.5941 ± 0.0117,0.5940795559666975,0.01167527308413123,0.00835198723003306,0.5941 ± 0.0117,-0.04506969277841333
A4,A4  + cost-sensitive weighting,0.5602255507601877,0.014302280101547965,0.010231234842021954,0.5602 ± 0.0143,0.5835337650323773,0.013857526964717107,0.009913077614130022,0.5835 ± 0.0139,0.5835337650323773,0.013857526964717107,0.009913077614130022,0.5835 ± 0.0139,0.018306014008810267
A5,A5  + hybrid ensemble XGB+LR,0.607019320999475,0.014314188120476912,0.010239753325599414,0.6070 ± 0.0143,0.6331174838112859,0.012804778148379827,0.009159986478092099,0.6331 ± 0.0128,0.6331174838112859,0.012804778148379827,0.009159986478092099,0.6331 ± 0.0128,0.046793770239287324
A6,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.6066402362361181,0.014356701442915329,0.010270165524402245,0.6066 ± 0.0144,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128,-0.0003790847633569072
