comparison,mean_diff,cohens_d,wins_per_seed,p_value,significant_0.05
ME-XBAL vs XLM-R fine-tuned,-0.07922586395921949,-5.772335533365277,0/10,0.001953125,True
ME-XBAL+XGB vs XLM-R fine-tuned,-0.07100195875484105,-5.032521397717354,0/10,0.001953125,True
