comparison,removed component,mean_delta,cohens_d,p_value,significant_0.05
A6 (ME-XBAL+XGB) vs A2b,XGBoost,0.008223905204378401,0.5882630019532389,0.10546875,False
A6 (ME-XBAL+XGB) vs A2c,Logistic Regression,0.046425992949465,3.22562814463915,0.001953125,True
