Model,Embedding extraction (s),Preprocessing fit (s),Classifier training (s),Weight + calibration (s),Total training (s),Classifier inference (s),Inference sd (s),Inference per sample (ms),End-to-end inference per sample (ms),SHAP cost per sample (s)
ME-XBAL,4.5225263129996165,0.42668122699978994,4.838292051999815,1.3048271510015184,6.5698004300011235,0.0013082647998999164,9.580403263040252e-05,0.0012102357075854915,4.1848608490282295,
ME-XBAL+XGB,4.5225263129996165,0.4698697069998161,12.349922497998705,1.3456614069982606,14.165453611996782,0.01682896275024177,0.004359453579718178,0.015567958140834202,4.199218571461478,0.3065443499999674
XLM-R Hybrid,4.5225263129996165,0.46272570100154553,20.697174905000793,1.3204865990010148,22.480387205003353,0.023868117600159167,0.005826420464713634,0.022079664755003853,4.205730278075648,
XLM-R LR,4.5225263129996165,0.4447529899989604,8.109727168000973,1.2933586670005752,9.847838825000508,0.0013795785997899658,2.461928557982128e-05,0.001276205920249737,4.184926819240894,
XLM-R XGB,4.5225263129996165,0.44648985499952687,7.613734107999335,1.3102379520005343,9.370461914999396,0.009206969149818178,0.004877782909188268,0.008517085244975188,4.192167698565619,
IndoBERT LR,4.542771265998454,0.3866737219996139,6.197407740999552,1.2740680620008789,7.858149525000044,0.0012312015501265705,6.753438499941323e-05,0.0011389468548811939,4.203517546298409,
IndoBERT XGB,4.542771265998454,0.4509801669992157,5.942264147999595,1.276473841000552,7.669718155999362,0.00971919470002831,0.005750594712046602,0.00899092941723248,4.21136952886076,
IndoBERT Hybrid,4.542771265998454,0.37364238100053626,14.960150827999314,1.3183016370003315,16.652094846000182,0.021253581100154406,0.009964038226958457,0.019661037095424983,4.222039636538953,
