cfg,component,macro_f1_mean,macro_f1_std,macro_f1_ci95,macro_f1_str,micro_f1_mean,micro_f1_std,micro_f1_ci95,micro_f1_str,accuracy_mean,accuracy_std,accuracy_ci95,accuracy_str
A2b,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + calibration),0.5984163310317396,0.013592822536668544,0.009723719473479789,0.5984 ± 0.0136,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126,0.6246993524514338,0.012646750675400093,0.00904694043396016,0.6247 ± 0.0126
A2c,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + calibration),0.5602142432866531,0.014428914741221809,0.010321823806049983,0.5602 ± 0.0144,0.5838112858464385,0.013984908860233142,0.010004201132785304,0.5838 ± 0.0140,0.5838112858464385,0.013984908860233142,0.010004201132785304,0.5838 ± 0.0140
A6,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.6066402362361181,0.014356701442915329,0.010270165524402245,0.6066 ± 0.0144,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128,0.6328399629972248,0.012799207704757632,0.009156001622777543,0.6328 ± 0.0128
