cfg,macro_f1_sun_mean,macro_f1_sun_std,macro_f1_sun_ci95,macro_f1_sun_str,macro_f1_jav_mean,macro_f1_jav_std,macro_f1_jav_ci95,macro_f1_jav_str,macro_f1_ind_mean,macro_f1_ind_std,macro_f1_ind_ci95,macro_f1_ind_str
ME-XBAL,0.39330800962527646,0.0268480297982319,0.01920592352834593,0.3933 ± 0.0268,0.40632464006386054,0.03096915190500434,0.02215399668784681,0.4063 ± 0.0310,0.42389787275877444,0.05422734971200244,0.03879190910992576,0.4239 ± 0.0542
ME-XBAL+XGB,0.3964097062462595,0.02381612598247606,0.01703703019545259,0.3964 ± 0.0238,0.41472346463119647,0.04586357299353268,0.03280882367422393,0.4147 ± 0.0459,0.44951513118643255,0.05735035900585639,0.04102597537574996,0.4495 ± 0.0574
XLM-R Hybrid,0.3869648315134245,0.02043851276472532,0.014620831254377098,0.3870 ± 0.0204,0.3833652537431473,0.036049026427622914,0.02578792000915623,0.3834 ± 0.0360,0.40623669525140593,0.07793534776936509,0.055751589247418284,0.4062 ± 0.0779
XLM-R LR,0.38052794577493854,0.018183451946178875,0.01300765792440618,0.3805 ± 0.0182,0.3759711316143982,0.026478041803169233,0.018941250060945068,0.3760 ± 0.0265,0.389549650322116,0.06238547186938835,0.044627878135108275,0.3895 ± 0.0624
XLM-R XGB,0.3572445983660869,0.016223088621665018,0.01160529848196893,0.3572 ± 0.0162,0.3008297927284417,0.046278998544508274,0.03310600121103833,0.3008 ± 0.0463,0.3657606129448219,0.07491855610745514,0.05359350649814296,0.3658 ± 0.0749
IndoBERT LR,0.40232466631925795,0.02781134769285595,0.01989503963692739,0.4023 ± 0.0278,0.3627752497774309,0.08486315411494108,0.06070744336007592,0.3628 ± 0.0849,0.42033093858091924,0.05733295044181879,0.04101352203924232,0.4203 ± 0.0573
IndoBERT XGB,0.3806778528801599,0.03852377061764506,0.027558245356043093,0.3807 ± 0.0385,0.3240531403033698,0.05128963071316002,0.03669039153625069,0.3241 ± 0.0513,0.3944678691307241,0.06833752239887168,0.04888571858616573,0.3945 ± 0.0683
IndoBERT Hybrid,0.3959342033890224,0.029428572032726384,0.02105193223698614,0.3959 ± 0.0294,0.328765494017644,0.06845065708569537,0.04896665026569188,0.3288 ± 0.0685,0.40888840459141135,0.06548140452422949,0.046842574940223695,0.4089 ± 0.0655
