cfg,macro_f1_sun_mean,macro_f1_sun_std,macro_f1_sun_ci95,macro_f1_sun_str,macro_f1_jav_mean,macro_f1_jav_std,macro_f1_jav_ci95,macro_f1_jav_str,macro_f1_ind_mean,macro_f1_ind_std,macro_f1_ind_ci95,macro_f1_ind_str
ME-XBAL,0.39330800962527646,0.0268480297982319,0.01920592352834593,0.3933 ± 0.0268,0.40632464006386054,0.03096915190500434,0.02215399668784681,0.4063 ± 0.0310,0.42389787275877444,0.05422734971200244,0.03879190910992576,0.4239 ± 0.0542
ME-XBAL+XGB,0.3964097062462595,0.02381612598247606,0.01703703019545259,0.3964 ± 0.0238,0.41472346463119647,0.04586357299353268,0.03280882367422393,0.4147 ± 0.0459,0.44951513118643255,0.05735035900585639,0.04102597537574996,0.4495 ± 0.0574
XLM-R fine-tuned,0.35802480641738865,0.06378201203526068,0.04562690278725514,0.3580 ± 0.0638,0.3154003992550113,0.04999017751584018,0.03576081871753931,0.3154 ± 0.0500,0.41559161006430534,0.058968552601234014,0.042183561339429444,0.4156 ± 0.0590
