Model,Embedding extraction (s),Preprocessing fit (s),Classifier training (s),Threshold search (s),Total training (s),Classifier inference (s),Inference sd (s),Inference per sample (ms),End-to-end inference per sample (ms),SHAP cost per sample (s)
ME-XBAL,0.8576689909996276,2.00062493599944,0.6306746300006125,1.7953384649999862,4.426638031000039,0.004642548000038005,0.00014841829983595743,0.020542247787778783,3.815537783184361,
ME-XBAL+XGB,0.8576689909996276,0.3665950240001621,10.322743595000247,1.453643791000104,12.142982410000513,0.014954623650100984,0.00032631233622196335,0.06617090110664152,3.8611664365032237,0.353017133999856
XLM-R Hybrid,0.8576689909996276,0.3274927949996709,7.181224533000204,2.141466842999762,9.650184170999637,0.04059879234996515,0.0034852576065674003,0.17964067411489004,3.974636209511472,
XLM-R LR,0.8576689909996276,0.6176876399995308,0.9594652799996766,1.4425012399997286,3.019654159998936,0.00448847574989486,0.00021575678631730505,0.019860512167676373,3.8148560475642586,
XLM-R XGB,0.8576689909996276,0.33083435899970937,6.572906073000013,1.4127326950001589,8.316473126999881,0.019049596549984928,0.006273566128849389,0.08429025022117224,3.8792857856177543,
IndoBERT LR,0.9485070440005074,0.9163047579995691,0.9146091590000651,2.1300837999997384,3.9609977169993726,0.014141661300027409,0.00510540565341813,0.06257372256649296,4.259507545577588,
IndoBERT XGB,0.9485070440005074,0.6542764030000399,5.885081668000566,1.3830664180004533,7.9224244890010596,0.012024599949927505,0.0005046180377331963,0.05320619446870578,4.250140017479801,
IndoBERT Hybrid,0.9485070440005074,0.31828861000030884,8.05721920399992,1.4524263809998956,9.827934195000125,0.016570273550087222,0.004799199190076824,0.07331979446941249,4.270253617480507,
