cfg,macro_f1_jav_mean,macro_f1_jav_std,macro_f1_jav_ci95,macro_f1_jav_str,macro_f1_ind_mean,macro_f1_ind_std,macro_f1_ind_ci95,macro_f1_ind_str
ME-XBAL,0.33984589081490446,0.031525975178124103,0.022552324061688066,0.3398 ± 0.0315,0.3476141547877103,0.03036292815659019,0.021720330342844613,0.3476 ± 0.0304
ME-XBAL+XGB,0.3428013281730772,0.03747482367652551,0.026807873917697875,0.3428 ± 0.0375,0.3442342631388699,0.029477620381992486,0.021087019312360972,0.3442 ± 0.0295
XLM-R Hybrid,0.3177625244411066,0.0333394266475034,0.02384958909398325,0.3178 ± 0.0333,0.32225985383359035,0.01892418818402907,0.01353754870766814,0.3223 ± 0.0189
XLM-R LR,0.3178689732105178,0.03493106184484121,0.024988176324212963,0.3179 ± 0.0349,0.3262378286077251,0.02338873015776451,0.0167312896406546,0.3262 ± 0.0234
XLM-R XGB,0.29081428214985644,0.018344483476304616,0.013122852941563496,0.2908 ± 0.0183,0.2932470124821861,0.018173781970594195,0.01300074044059094,0.2932 ± 0.0182
IndoBERT LR,0.34578970711632256,0.02169550948075584,0.015520032535994195,0.3458 ± 0.0217,0.3335394057633919,0.028624250199185335,0.020476555058725344,0.3335 ± 0.0286
IndoBERT XGB,0.30781468819612406,0.031694363375037074,0.022672781721236684,0.3078 ± 0.0317,0.281709215526434,0.012388259813451907,0.008862027210730646,0.2817 ± 0.0124
IndoBERT Hybrid,0.34711026276033596,0.027464649594576472,0.019647026758030144,0.3471 ± 0.0275,0.3245594700510255,0.032174717583233585,0.02301640642139062,0.3246 ± 0.0322
