cfg,component,macro_f1_sun_mean,macro_f1_sun_std,macro_f1_sun_ci95,macro_f1_sun_str,macro_f1_jav_mean,macro_f1_jav_std,macro_f1_jav_ci95,macro_f1_jav_str,macro_f1_ind_mean,macro_f1_ind_std,macro_f1_ind_ci95,macro_f1_ind_str,avg_macro_f1_mean,avg_macro_f1_std,avg_macro_f1_ci95,avg_macro_f1_str,delta_avg
A0,A0  base: LR on raw embeddings,0.2307895865254046,0.013330985535129732,0.009536412566185721,0.2308 ± 0.0133,0.1905864379371653,0.027604679304414494,0.019747197978006316,0.1906 ± 0.0276,0.2111784095607625,0.0302472198546148,0.02163755760994633,0.2112 ± 0.0302,0.21085147800777743,0.015935014693305116,0.011399222807881483,0.2109 ± 0.0159,
A1,A1  + StandardScaler,0.36132895941894877,0.018491899983160965,0.013228308357799864,0.3613 ± 0.0185,0.3182813514719392,0.041881002837057174,0.029959864609206112,0.3183 ± 0.0419,0.36542104725641134,0.08555902705903778,0.06120524087632593,0.3654 ± 0.0856,0.34834378604909977,0.03086814767265735,0.02208174261270334,0.3483 ± 0.0309,0.13749230804132234
A2,A2  + PCA (95% variance),0.3569646767340523,0.023551407369444933,0.016847661907477118,0.3570 ± 0.0236,0.3522626632888108,0.04725681202958995,0.033805486840360034,0.3523 ± 0.0473,0.36907132302638834,0.061843319710136034,0.04424004584389064,0.3691 ± 0.0618,0.3594328876830838,0.029465654807775715,0.02107845965621089,0.3594 ± 0.0295,0.011089101633984022
A3,A3  XGBoost replaces LR,0.22696525312175164,0.011350476938201706,0.008119642064003979,0.2270 ± 0.0114,0.15847192905660645,0.030994470069507264,0.022172108211670927,0.1585 ± 0.0310,0.20091955056738336,0.02599061597427405,0.01859256662808781,0.2009 ± 0.0260,0.19545224424858051,0.01601368900532685,0.011455503020310115,0.1955 ± 0.0160,-0.16398064343450328
A4,A4  + cost-sensitive weighting,0.32200874351089437,0.02934121646852763,0.020989441830860052,0.3220 ± 0.0293,0.2803566859286,0.049664819759039094,0.03552807179929478,0.2804 ± 0.0497,0.31402788381360003,0.04920942533494672,0.035202302253071714,0.3140 ± 0.0492,0.3054644377510315,0.029379253239351408,0.02101665169755034,0.3055 ± 0.0294,0.11001219350245098
A5,A5  + hybrid ensemble XGB+LR,0.35821906344665166,0.01817907577424156,0.013004527399589027,0.3582 ± 0.0182,0.32935619209506456,0.048275158394512296,0.03453396794519535,0.3294 ± 0.0483,0.36027173309803107,0.06490864879116999,0.046432850171135166,0.3603 ± 0.0649,0.3492823295465824,0.01988082084143238,0.014221882485635573,0.3493 ± 0.0199,0.0438178917955509
A6,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.3964097062462595,0.02381612598247606,0.01703703019545259,0.3964 ± 0.0238,0.41472346463119647,0.04586357299353268,0.03280882367422393,0.4147 ± 0.0459,0.44951513118643255,0.05735035900585639,0.04102597537574996,0.4495 ± 0.0574,0.4202161006879628,0.024584627483867114,0.017586783051735087,0.4202 ± 0.0246,0.07093377114138039
