cfg,seed,setting,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
IndoBERT Hybrid,13,S2,0.35246847276922466,0.44,151,0.32017873644791056,0.4891304347826087,156
ME-XBAL,77,S2,0.3235444882985867,0.44970414201183434,151,0.3575430525119543,0.5074626865671642,156
ME-XBAL+XGB,77,S2,0.3611825715412708,0.47619047619047616,151,0.34814323310667783,0.5149911816578483,156
XLM-R Hybrid,77,S2,0.28957063024859636,0.4612159329140461,151,0.321811554970082,0.5048923679060665,156
XLM-R LR,77,S2,0.2806992328829639,0.44398340248962653,151,0.36296164533574604,0.5116279069767442,156
XLM-R XGB,77,S2,0.27069931308447465,0.45544554455445546,151,0.2885808822760139,0.48628884826325414,156
IndoBERT LR,77,S2,0.3644359048861785,0.4280821917808219,151,0.35115342220712836,0.4925925925925926,156
IndoBERT XGB,77,S2,0.29094539888204385,0.4335154826958106,151,0.2857170349257678,0.47920133111480867,156
IndoBERT Hybrid,77,S2,0.3136086341660025,0.4170940170940171,151,0.3372789010649791,0.4875444839857651,156
ME-XBAL,101,S2,0.35247222578175097,0.4321223709369025,151,0.39486374614064523,0.5017182130584192,156
ME-XBAL+XGB,101,S2,0.37157847341477773,0.4568345323741007,151,0.37111112489116627,0.49411764705882355,156
XLM-R Hybrid,101,S2,0.3530918964076859,0.45136186770428016,151,0.34916303959659784,0.48440366972477067,156
XLM-R LR,101,S2,0.3271538035987421,0.430327868852459,151,0.33570672638497284,0.4689922480620155,156
XLM-R XGB,101,S2,0.3033736916179664,0.4621212121212121,151,0.30818895818895814,0.5116279069767442,156
IndoBERT LR,101,S2,0.3495634077880821,0.4053601340033501,151,0.34826075761035113,0.4836852207293666,156
IndoBERT XGB,101,S2,0.3729586161771033,0.4717607973421927,151,0.2877833254902698,0.5090252707581228,156
IndoBERT Hybrid,101,S2,0.36116028020904317,0.4287949921752739,151,0.35173251607229733,0.4918032786885246,156
ME-XBAL,202,S2,0.3343498733409153,0.444022770398482,151,0.32845675089132426,0.4962121212121212,156
ME-XBAL+XGB,202,S2,0.295006175659442,0.4624277456647399,151,0.33485417621010843,0.5380530973451327,156
XLM-R Hybrid,202,S2,0.3009037244484148,0.46124031007751937,151,0.31306776268503983,0.5242369838420108,156
XLM-R LR,202,S2,0.32244183020045086,0.4297520661157025,151,0.3374761709064034,0.4847250509164969,156
XLM-R XGB,202,S2,0.2835969032761549,0.4543761638733706,151,0.31847099252753064,0.5167785234899329,156
IndoBERT LR,202,S2,0.34515846549339374,0.4111111111111111,151,0.30791974194778143,0.48140900195694714,156
IndoBERT XGB,202,S2,0.3214895811551281,0.44483985765124556,151,0.2659218074777847,0.47942754919499103,156
IndoBERT Hybrid,202,S2,0.3342744251734054,0.41767068273092367,151,0.2740954673667521,0.4717741935483871,156
ME-XBAL,303,S2,0.3566639653607888,0.475,151,0.37702240427531125,0.5101663585951941,156
ME-XBAL+XGB,303,S2,0.3240147355989249,0.472168905950096,151,0.3413017042781108,0.5048923679060665,156
XLM-R Hybrid,303,S2,0.3432116600694582,0.4806201550387597,151,0.33747736365626807,0.4930966469428008,156
XLM-R LR,303,S2,0.347722924933258,0.46774193548387094,151,0.32694986959268085,0.47484909456740443,156
XLM-R XGB,303,S2,0.29857793236740665,0.43478260869565216,151,0.31172605189459124,0.47794117647058826,156
IndoBERT LR,303,S2,0.3746692527160804,0.42388059701492536,151,0.3745619510673184,0.5026929982046678,156
IndoBERT XGB,303,S2,0.2748921962368199,0.4412811387900356,151,0.27912581699346406,0.4973730297723292,156
IndoBERT Hybrid,303,S2,0.38815156168081627,0.45609065155807366,151,0.37854279721729084,0.5249169435215947,156
ME-XBAL,404,S2,0.28330643048836174,0.4116504854368932,151,0.30484226111392393,0.4576923076923077,156
