cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind,label,avg_macro_f1
A3,7,S1,0.24341248027688703,0.6340579710144928,226,0.12043010752688173,0.2191780821917808,31,0.15717990717990718,0.35135135135135137,32,A3  XGBoost replaces LR,0.17367416499455865
A4,7,S1,0.35455706689406075,0.6111111111111112,226,0.2669934640522876,0.32098765432098764,31,0.2466341375259781,0.4,32,A4  + cost-sensitive weighting,0.28939488949077546
A5,7,S1,0.36703860136085203,0.6153846153846154,226,0.34272852751113625,0.3956043956043956,31,0.28253968253968254,0.425,32,A5  + hybrid ensemble XGB+LR,0.3307689371372236
A6,7,S1,0.3874007000986351,0.5968586387434555,226,0.46009816207184623,0.5,31,0.43088674726338866,0.5245901639344263,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4261285364779566
A2b,7,S1,0.3984906233622301,0.5739570164348925,226,0.4412910618792971,0.453781512605042,31,0.34458152958152954,0.48598130841121495,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.39478773827435226
A2c,7,S1,0.37056452222194264,0.5761124121779859,226,0.402952722307561,0.4503311258278146,31,0.3740079365079365,0.47368421052631576,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.3825083936791467
A0,13,S1,0.22706273760787077,0.6361974405850092,226,0.2241935483870968,0.410958904109589,31,0.22474747474747478,0.4927536231884058,29,A0  base: LR on raw embeddings,0.22533458691414746
A1,13,S1,0.35024879855100566,0.5927099841521395,226,0.33435545935545935,0.425531914893617,31,0.5372994652406418,0.6262626262626263,29,A1  + StandardScaler,0.4073012410490356
A2,13,S1,0.3772684685649717,0.6009389671361502,226,0.40092033570294444,0.48484848484848486,31,0.45170311714429356,0.5679012345679012,29,A2  + PCA (95% variance),0.4099639738040699
A3,13,S1,0.2084090221011202,0.6142595978062158,226,0.17692307692307693,0.34782608695652173,31,0.23219373219373218,0.4864864864864865,29,A3  XGBoost replaces LR,0.20584194373930975
A4,13,S1,0.2841374269005848,0.5806451612903226,226,0.3616402116402117,0.4235294117647059,31,0.3140166028097063,0.5128205128205128,29,A4  + cost-sensitive weighting,0.31993141378350093
A5,13,S1,0.3516183114375034,0.5958132045088567,226,0.35969308469308464,0.48936170212765956,31,0.39556664959890764,0.5977011494252874,29,A5  + hybrid ensemble XGB+LR,0.3689593485764986
A6,13,S1,0.4111784621280084,0.6038647342995169,226,0.3795500795500795,0.4503311258278146,31,0.5175523897633432,0.5789473684210527,29,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.4360936438138103
A2b,13,S1,0.40397431455368116,0.6068601583113457,226,0.4127730002730003,0.47619047619047616,31,0.4980392156862745,0.5691056910569106,29,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.438262176837652
A2c,13,S1,0.36884428205206765,0.5852534562211982,226,0.3942818877029403,0.46357615894039733,31,0.46303123399897594,0.5370370370370371,29,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.4087191345846613
A0,77,S1,0.23555012333827344,0.6410256410256411,226,0.1574074074074074,0.28169014084507044,31,0.20098039215686278,0.42857142857142855,32,A0  base: LR on raw embeddings,0.19797930763418123
A1,77,S1,0.36383067124446433,0.5755627009646302,226,0.35325476992143656,0.3673469387755102,31,0.34460642404190794,0.40860215053763443,32,A1  + StandardScaler,0.353897288402603
A2,77,S1,0.36016612034904716,0.5878594249201278,226,0.3490740740740741,0.3516483516483517,31,0.36932454800101855,0.4888888888888889,32,A2  + PCA (95% variance),0.3595215808080466
A3,77,S1,0.21997417957687826,0.6363636363636364,226,0.1261904761904762,0.23529411764705882,31,0.19095816464237517,0.42105263157894735,32,A3  XGBoost replaces LR,0.17904094013657654
A4,77,S1,0.3040542292039298,0.6312178387650086,226,0.2751322751322751,0.32,31,0.32378167641325534,0.4578313253012048,32,A4  + cost-sensitive weighting,0.3009893935831534
A5,77,S1,0.3633776188042923,0.6146179401993356,226,0.30429505135387486,0.3116883116883117,31,0.3922162804515746,0.5,32,A5  + hybrid ensemble XGB+LR,0.3532963168699139
A6,77,S1,0.41303931128979315,0.6111801242236025,226,0.36660407493740826,0.43243243243243246,31,0.46759259259259256,0.5362318840579711,32,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.41574532627326466
A2b,77,S1,0.39336247053608714,0.6041131105398457,226,0.3795643705510878,0.4406779661016949,31,0.396911421911422,0.4806201550387597,32,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.38994608766619904
A2c,77,S1,0.36337597320536946,0.5804111245465539,226,0.45614600107353737,0.4576271186440678,31,0.42004809476878396,0.5037037037037037,32,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.4131900230158969
A0,101,S1,0.2277208554407998,0.6365280289330922,226,0.22307692307692306,0.37142857142857144,31,0.26587301587301587,0.43478260869565216,32,A0  base: LR on raw embeddings,0.2388902647969129
A1,101,S1,0.35148751239255693,0.5842349304482226,226,0.3038600288600289,0.3617021276595745,31,0.39097014097014093,0.43564356435643564,32,A1  + StandardScaler,0.3487725607409089
A2,101,S1,0.33523785080873064,0.5813586097946287,226,0.2582251082251082,0.3181818181818182,31,0.4037202261340192,0.49523809523809526,32,A2  + PCA (95% variance),0.3323943950559527
A3,101,S1,0.2092489825667707,0.6156648451730419,226,0.18125,0.33766233766233766,31,0.20925925925925926,0.4533333333333333,32,A3  XGBoost replaces LR,0.19991941394201
A4,101,S1,0.3363830173229582,0.5972696245733788,226,0.23809523809523805,0.33766233766233766,31,0.3693432928727047,0.4523809523809524,32,A4  + cost-sensitive weighting,0.31460718276363364
A5,101,S1,0.3303965099461153,0.580226904376013,226,0.28827573392790784,0.3695652173913043,31,0.44047619047619047,0.5252525252525253,32,A5  + hybrid ensemble XGB+LR,0.35304947811673787
