cfg,seed,setting,train_time_s,macro_f1_sun,micro_f1_sun,macro_f1_jav,micro_f1_jav,macro_f1_ind,micro_f1_ind,infer_ms_per_sample
XLM-R fine-tuned,42,S1,157.57040320800024,0.2445616211745244,0.5579617834394904,0.24364837398373984,0.42105263157894735,0.34558337558337565,0.4294478527607362,3.4421558724151793
XLM-R fine-tuned,7,S1,189.27336307900077,0.3947125091539503,0.5777202072538861,0.29294871794871796,0.42,0.4236402486402487,0.453125,2.9005515536331505
XLM-R fine-tuned,13,S1,214.98500033600067,0.3833558477532244,0.6547085201793722,0.3950937950937951,0.5747126436781609,0.4964985994397759,0.5783132530120482,3.6966339335662384
XLM-R fine-tuned,77,S1,213.04492765600116,0.39763769361451295,0.6024096385542169,0.29196293902176257,0.41818181818181815,0.45625342090859333,0.5614035087719298,3.631836446367686
XLM-R fine-tuned,101,S1,211.90561861400056,0.4056717619140091,0.6075,0.3351851851851852,0.4727272727272727,0.3654545454545455,0.464,3.332415792384762
XLM-R fine-tuned,202,S1,214.1357936839995,0.3403139259462236,0.5959885386819485,0.3277777777777778,0.43902439024390244,0.4351521164021164,0.5294117647058824,3.7378094359885625
XLM-R fine-tuned,303,S1,157.52924227400035,0.33309417262933194,0.6135458167330677,0.3129172351305471,0.4142857142857143,0.4040505721165391,0.48226950354609927,3.7073794758569045
XLM-R fine-tuned,404,S1,214.40431917999922,0.441856236384594,0.6146220570012392,0.3300186741363212,0.4166666666666667,0.4977342047930284,0.5128205128205128,3.5345579723184137
XLM-R fine-tuned,505,S1,103.39687917300034,0.2604268059333949,0.562200956937799,0.24457314457314458,0.43410852713178294,0.3246045728603868,0.45112781954887216,3.73217949481369
XLM-R fine-tuned,606,S1,218.85709126399888,0.37861748967012127,0.6158038147138964,0.37987814969912154,0.5172413793103449,0.4069444444444444,0.49586776859504134,3.204571941178294
