comparison,removed component,mean_delta,cohens_d,p_value,significant_0.05
A6 (ME-XBAL+XGB) vs A2b,XGBoost,0.012372593205325721,0.4867012382299326,0.064453125,False
A6 (ME-XBAL+XGB) vs A2c,Logistic Regression,0.022429591497464357,0.8554440832160793,0.02734375,True
