metric,SHAP ranking,Random ranking,mean_diff,p_value,significant_0.05
AOPC deletion (higher = better),0.1257 ± 0.1828,0.0697 ± 0.1491,0.05602557825832759,0.0635564886033535,False
AOPC insertion (higher = better),0.0768 ± 0.2179,0.0264 ± 0.1592,0.05038095504690186,0.2988441474735737,False
