language,comparison,mean_diff,cohens_d,wilcoxon_stat,p_value,significant_0.05
Sundanese,ME-XBAL vs IndoBERT Hybrid,-0.0026261937637460653,-0.0932336724880342,24.0,0.76953125,False
Sundanese,ME-XBAL vs IndoBERT LR,-0.009016656693981578,-0.3298704493139602,20.0,0.4921875,False
Sundanese,ME-XBAL vs IndoBERT XGB,0.0126301567451165,0.3803903799813308,18.0,0.375,False
Sundanese,ME-XBAL vs ME-XBAL+XGB,-0.003101696620983102,-0.12222280387247696,22.0,0.625,False
Sundanese,ME-XBAL vs XLM-R Hybrid,0.006343178111851933,0.2658556803914572,16.0,0.275390625,False
Sundanese,ME-XBAL vs XLM-R LR,0.012780063850337886,0.5573817603350557,4.0,0.013671875,True
Sundanese,ME-XBAL vs XLM-R XGB,0.036063411259189534,1.6258597571668525,0.0,0.001953125,True
Javanese,ME-XBAL vs IndoBERT Hybrid,0.07755914604621653,1.459930455577398,5.0,0.01953125,True
Javanese,ME-XBAL vs IndoBERT LR,0.04354939028642963,0.6817569242726245,17.0,0.322265625,False
Javanese,ME-XBAL vs IndoBERT XGB,0.0822714997604908,1.9419339399543878,2.0,0.005859375,True
Javanese,ME-XBAL vs ME-XBAL+XGB,-0.008398824567335955,-0.21463053585914496,21.0,0.556640625,False
Javanese,ME-XBAL vs XLM-R Hybrid,0.02295938632071328,0.6832090708201808,10.0,0.083984375,False
Javanese,ME-XBAL vs XLM-R LR,0.03035350844946234,1.0535301067651341,1.0,0.00390625,True
Javanese,ME-XBAL vs XLM-R XGB,0.10549484733541888,2.679211396146674,0.0,0.001953125,True
Indonesian,ME-XBAL vs IndoBERT Hybrid,0.015009468167362965,0.24966554891481227,22.0,0.625,False
Indonesian,ME-XBAL vs IndoBERT LR,0.0035669341778551853,0.0639215363096739,21.0,0.556640625,False
Indonesian,ME-XBAL vs IndoBERT XGB,0.02943000362805027,0.4770844102214811,18.0,0.375,False
Indonesian,ME-XBAL vs ME-XBAL+XGB,-0.025617258427658163,-0.45900261165877687,11.0,0.10546875,False
Indonesian,ME-XBAL vs XLM-R Hybrid,0.017661177507368425,0.2630651126708225,19.0,0.431640625,False
Indonesian,ME-XBAL vs XLM-R LR,0.034348222436658374,0.5876622235074134,7.0,0.037109375,True
Indonesian,ME-XBAL vs XLM-R XGB,0.05813725981395253,0.8889969665552733,7.0,0.037109375,True
