cfg,seed,setting,macro_f1_sun,micro_f1_sun,n_test_sun,macro_f1_jav,micro_f1_jav,n_test_jav,macro_f1_ind,micro_f1_ind,n_test_ind
ME-XBAL+XGB,13,S1,0.4111784621280084,0.6038647342995169,226,0.3795500795500795,0.4503311258278146,31,0.5175523897633432,0.5789473684210527,29
XLM-R Hybrid,13,S1,0.3829557408648363,0.6219354838709678,226,0.3596316765671605,0.45454545454545453,31,0.513888888888889,0.6407766990291263,29
XLM-R LR,13,S1,0.38070311124287287,0.6008119079837618,226,0.38349358974358977,0.46153846153846156,31,0.4719208211143695,0.616822429906542,29
XLM-R XGB,13,S1,0.37529817131821847,0.6175349428208387,226,0.3314955106621773,0.47244094488188976,31,0.3990740740740741,0.6138613861386139,29
IndoBERT LR,13,S1,0.4418093310556546,0.6299212598425197,226,0.2765611346373597,0.43137254901960786,31,0.5393642305407012,0.5656565656565656,29
IndoBERT XGB,13,S1,0.3501866451047773,0.6088082901554405,226,0.2774024024024024,0.46153846153846156,31,0.3558143547273982,0.5471698113207547,29
IndoBERT Hybrid,13,S1,0.4048679757229805,0.617157490396927,226,0.2545102593883082,0.44642857142857145,31,0.44225146198830406,0.5794392523364486,29
ME-XBAL,77,S1,0.39336247053608714,0.6041131105398457,226,0.3795643705510878,0.4406779661016949,31,0.396911421911422,0.4806201550387597,32
ME-XBAL+XGB,77,S1,0.41303931128979315,0.6111801242236025,226,0.36660407493740826,0.43243243243243246,31,0.46759259259259256,0.5362318840579711,32
XLM-R Hybrid,77,S1,0.4045100087529909,0.6222222222222222,226,0.42463924963924965,0.5,31,0.3808035076286349,0.5192307692307693,32
XLM-R LR,77,S1,0.3880270341583121,0.6093959731543624,226,0.34820156695156695,0.42718446601941745,31,0.3680256737728002,0.4791666666666667,32
XLM-R XGB,77,S1,0.34067500988959615,0.6172185430463576,226,0.2636102020674251,0.3917525773195876,31,0.4339585063722995,0.5471698113207547,32
IndoBERT LR,77,S1,0.37589284052913047,0.6018641810918774,226,0.29012345679012347,0.35714285714285715,31,0.3989045193629234,0.5405405405405406,32
IndoBERT XGB,77,S1,0.3593454988382525,0.6026731470230863,226,0.2775179025179026,0.4375,31,0.4326499256731815,0.528,32
