cfg,component,macro_f1_sun_mean,macro_f1_sun_std,macro_f1_sun_ci95,macro_f1_sun_str,macro_f1_jav_mean,macro_f1_jav_std,macro_f1_jav_ci95,macro_f1_jav_str,macro_f1_ind_mean,macro_f1_ind_std,macro_f1_ind_ci95,macro_f1_ind_str,avg_macro_f1_mean,avg_macro_f1_std,avg_macro_f1_ci95,avg_macro_f1_str
A2b,A2b  proposed ME-XBAL  (scaler + PCA + cost-sensitive LR + threshold),0.39330800962527646,0.0268480297982319,0.01920592352834593,0.3933 ± 0.0268,0.40632464006386054,0.03096915190500434,0.02215399668784681,0.4063 ± 0.0310,0.42389787275877444,0.05422734971200244,0.03879190910992576,0.4239 ± 0.0542,0.40784350748263715,0.02623135941032732,0.01876478410763988,0.4078 ± 0.0262
A2c,A2c  proposed minus LR  (scaler + PCA + cost-sensitive XGB + threshold),0.3710755818316419,0.014897279692199847,0.010656871908255013,0.3711 ± 0.0149,0.39789592166250193,0.03916893361536415,0.028019767161949583,0.3979 ± 0.0392,0.42438802407735166,0.06706740412462732,0.04797713070726303,0.4244 ± 0.0671,0.3977865091904985,0.027758858247500726,0.01985749094970103,0.3978 ± 0.0278
A6,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.3964097062462595,0.02381612598247606,0.01703703019545259,0.3964 ± 0.0238,0.41472346463119647,0.04586357299353268,0.03280882367422393,0.4147 ± 0.0459,0.44951513118643255,0.05735035900585639,0.04102597537574996,0.4495 ± 0.0574,0.4202161006879628,0.024584627483867114,0.017586783051735087,0.4202 ± 0.0246
