step,component,mean_delta,p_value,significant_0.05
A0 -> A1,A1  + StandardScaler,0.13749230804132234,0.001953125,True
A1 -> A2,A2  + PCA (95% variance),0.011089101633984022,0.10546875,False
A2 -> A3,A3  XGBoost replaces LR,-0.16398064343450328,0.001953125,True
A3 -> A4,A4  + cost-sensitive weighting,0.11001219350245098,0.001953125,True
A4 -> A5,A5  + hybrid ensemble XGB+LR,0.0438178917955509,0.001953125,True
A5 -> A6,A6  + XGBoost ensemble kembali  (= ME-XBAL+XGB),0.07093377114138039,0.001953125,True
